,Unnamed: 0_B,Unnamed: 0.1_B,id_B,xcentroid_B,ycentroid_B,sharpness_B,roundness1_B,roundness2_B,npix_B,sky_B,peak_B,flux_B,mag_B,Unnamed: 0_V,Unnamed: 0.1_V,id_V,xcentroid_V,ycentroid_V,sharpness_V,roundness1_V,roundness2_V,npix_V,sky_V,peak_V,flux_V,mag_V,x_rad,y_rad,rad
424585,284,284,285,1853.3715491095024,816.7853290339269,0.3695161069696101,-0.1320200575116568,0.0281041787522807,25,0.0,819.7963227647565,1.1939081883338016,14.10757267303567,289,289,290,1854.0160326798607,817.1913705452841,0.4145924091548492,-0.0133030460040893,0.0333894429544704,25,0.0,2681.789627926412,4.341773074072582,12.705832197513471,286.0160326798607,-652.8086294547159,54.10228119815182
469444,314,314,315,536.0943698992803,934.9463700189132,0.3975883862304896,-0.0085012042719073,0.3246232020167036,25,0.0,2420.7605114664148,3.105951645780927,13.06951327439533,328,328,329,536.2446409672909,934.4367030289468,0.4603099407160264,0.0349264604978381,-0.2147721700726673,25,0.0,6004.143170604217,7.841744746756384,12.06396824584424,-1031.755359032709,-535.5632969710532,88.24344591661821
473926,317,317,318,535.9189235776915,934.3999855192616,0.4556770397708201,0.0690638264226734,0.0018089538817387,25,0.0,2493.650776940021,3.594728945221644,12.910834628315804,328,328,329,536.2446409672909,934.4367030289468,0.4603099407160264,0.0349264604978381,-0.2147721700726673,25,0.0,6004.143170604217,7.841744746756384,12.06396824584424,-1031.755359032709,-535.5632969710532,88.24344591661821
494860,331,331,332,2937.6072291188466,975.2864595939336,0.5012142008554198,-0.1732897805621265,0.8666071233390055,25,0.0,146.2043421035096,1.4705844754685884,13.881275057650656,346,346,347,2936.9051674054444,975.0631869451036,0.9296882862864844,-0.0483379447964462,-0.0269284685752044,25,0.0,108.29113411510092,1.0103676152952348,14.288801456022886,1368.9051674054444,-494.93681305489645,110.49700652470663
520283,348,348,349,605.4790675108023,1035.935904936018,0.3852228604990814,0.0533717247031167,0.0522518303585329,25,0.0,5206.258718920773,5.973022104790479,12.359514695063192,371,371,372,605.6915206508373,1035.9586610290044,0.2617506567325696,-0.034704402487895,-0.282336512708705,25,0.0,7096.005698394413,9.757715104950814,11.82662966522991,-962.3084793491627,-434.04133897099564,80.13556254918642
542704,363,363,364,1548.6242291845338,1084.311462533343,0.3131363684864383,-0.1120969772536601,-0.1608579891614511,25,0.0,544.4803064924045,1.1042268883132316,14.192354204609227,382,382,383,1548.6519587136536,1084.509970985611,0.7410780417016445,0.0860990324803641,-0.1303118759256595,25,0.0,1204.2292966693908,2.202406418402782,13.442756339905811,-19.348041286346415,-385.49002901438894,29.299382757456943
542705,363,363,364,1548.6242291845338,1084.311462533343,0.3131363684864383,-0.1120969772536601,-0.1608579891614511,25,0.0,544.4803064924045,1.1042268883132316,14.192354204609227,383,383,384,1548.7897931965715,1083.9029496234486,0.4358436360534831,0.0474899695411072,0.2574518473987083,25,0.0,1116.5374096485166,1.8365775167553648,13.639976841467634,-19.21020680342849,-386.09705037655135,29.344882106855707
560648,375,375,376,571.3670266706846,1119.1097873012232,0.271906846741615,0.0654713344961882,0.2171128978576927,25,0.0,1498.6158637859285,1.988466143012904,13.553704498026216,398,398,399,571.8304780122238,1118.810144079095,0.5573223218203506,-0.0046886175545227,-0.2657481097075269,25,0.0,2308.352831004162,3.1791890844026534,13.04420910340384,-996.1695219877762,-351.1898559209051,80.1807987887076
563636,377,377,378,571.4020061701815,1118.8004886778635,0.2735647551103261,0.0073967680091847,0.0617785249947363,25,0.0,1601.142209252399,2.4436590444784976,13.32989847462454,398,398,399,571.8304780122238,1118.810144079095,0.5573223218203506,-0.0046886175545227,-0.2657481097075269,25,0.0,2308.352831004162,3.1791890844026534,13.04420910340384,-996.1695219877762,-351.1898559209051,80.1807987887076
569619,381,381,382,1583.278289784911,1130.0016944983347,0.3659083595182075,-0.0318862549286555,-0.0066222511431969,25,0.0,978.9013473652908,1.662744686012871,13.747936078647289,405,405,406,1583.2227969601772,1130.354661273468,0.3961983624140154,-0.0199349694707482,0.0601884070059044,25,0.0,1514.7213989841391,2.441615416396364,13.330806853936709,15.22279696017722,-339.6453387265319,25.808360644575846
