Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.026915 0.28364 1.06296 1.7250000238 2.5546767712    1.724  2.919  3.5483  0.901    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.528 2.933 1.320 -0.135 -1.371 -2.798 -4.281 -5.118 -5.382
0.026915 0.28364 1.06296 1.7500000000 2.5561456680    1.749  2.930  3.5484  0.896    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.556 2.908 1.291 -0.166 -1.401 -2.826 -4.308 -5.145 -5.409
0.026915 0.28364 1.06296 1.7750000954 2.5575671196    1.774  2.940  3.5485  0.893    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.581 2.884 1.263 -0.196 -1.430 -2.853 -4.333 -5.170 -5.434
0.026915 0.28364 1.06296 1.7999998331 2.5589430332    1.799  2.948  3.5489  0.893    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.600 2.860 1.230 -0.232 -1.461 -2.878 -4.351 -5.187 -5.451
0.026915 0.28364 1.06296 1.8250000477 2.5602757931    1.824  2.959  3.5489  0.887    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.628 2.837 1.204 -0.259 -1.488 -2.905 -4.379 -5.215 -5.478
0.026915 0.28364 1.06296 1.8500000238 2.5615673065    1.849  2.974  3.5484  0.876    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.666 2.813 1.185 -0.277 -1.512 -2.937 -4.419 -5.255 -5.520
0.026915 0.28364 1.06296 1.8750000000 2.5628192425    1.874  2.982  3.5487  0.875    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.686 2.790 1.154 -0.310 -1.542 -2.962 -4.438 -5.273 -5.537
0.026915 0.28364 1.06296 1.8999999762 2.5640332699    1.899  2.991  3.5489  0.873    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.708 2.767 1.127 -0.339 -1.569 -2.986 -4.460 -5.295 -5.559
0.026915 0.28364 1.06296 1.9249999523 2.5652110577    1.924  3.007  3.5483  0.860    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.748 2.744 1.111 -0.354 -1.592 -3.019 -4.502 -5.338 -5.603
0.026915 0.28364 1.06296 1.9494019747 2.5663273335    1.949  3.011  3.5490  0.865    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.756 2.724 1.076 -0.393 -1.621 -3.036 -4.507 -5.342 -5.606
0.026915 0.28364 1.06296 1.9982059002 2.5684661865    1.998  3.034  3.5486  0.852    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.814 2.681 1.035 -0.434 -1.668 -3.089 -4.566 -5.401 -5.666
0.026915 0.28364 1.06296 2.0470097065 2.5704882145    2.047  3.052  3.5487  0.844    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.860 2.640 0.989 -0.483 -1.717 -3.136 -4.612 -5.446 -5.712
0.026915 0.28364 1.06296 2.0958135128 2.5724022388    2.095  3.069  3.5488  0.837    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.903 2.600 0.942 -0.533 -1.764 -3.182 -4.655 -5.489 -5.754
0.026915 0.28364 1.06296 2.1446175575 2.5742163658    2.143  3.092  3.5484  0.823    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.959 2.561 0.906 -0.568 -1.807 -3.232 -4.713 -5.547 -5.813
0.026915 0.28364 1.06296 2.1934216022 2.5759379864    2.192  3.107  3.5486  0.818    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.997 2.523 0.860 -0.617 -1.853 -3.273 -4.750 -5.583 -5.850
0.026915 0.28364 1.06296 2.2422254086 2.5775737762    2.241  3.128  3.5482  0.805    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -3.051 2.485 0.826 -0.651 -1.893 -3.321 -4.805 -5.639 -5.906
0.026915 0.28364 1.06296 2.2910292149 2.5791296959    2.290  3.144  3.5483  0.799    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -3.090 2.449 0.784 -0.695 -1.936 -3.362 -4.844 -5.677 -5.945
0.026915 0.28364 1.06296 2.3886370659 2.5820231438    2.387  3.175  3.5484  0.786    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -3.168 2.379 0.705 -0.778 -2.018 -3.442 -4.922 -5.754 -6.022
0.026915 0.28364 1.06296 2.5838525295 2.5870633125    2.583  3.238  3.5481  0.756    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -3.326 2.248 0.564 -0.924 -2.169 -3.597 -5.081 -5.913 -6.182
0.026915 0.28364 1.06296 2.7790682316 2.5912981033    2.779  3.289  3.5485  0.739    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -3.454 2.128 0.425 -1.072 -2.311 -3.732 -5.208 -6.038 -6.307
0.026915 0.28364 1.06296 2.9742839336 2.5948998928    2.974  3.346  3.5480  0.709    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -3.596 2.015 0.309 -1.190 -2.439 -3.868 -5.352 -6.182 -6.453
0.026915 0.28364 1.06296 3.1694996357 2.5979962349    3.168  3.394  3.5480  0.689    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -3.715 1.911 0.193 -1.311 -2.560 -3.988 -5.471 -6.300 -6.572
0.026915 0.28364 1.06296 3.3647150993 2.6006832123    3.362  3.438  3.5481  0.671    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -3.825 1.813 0.084 -1.425 -2.673 -4.100 -5.581 -6.409 -6.681
