,GaiaEDR3,RA_ICRS,DE_ICRS,GLON,GLAT,Plx,Gmag,BPmag,RPmag,Var,Hmag,Jmag,Ksmag,Probv1,ZeroPoint,pmGLON,pmGLAT,d50kin,dmaxpdfkin,xkin,ykin,zkin,rpgeo,xphotogeo,yphotogeo,zphotogeo,_RA_icrs,_DE_icrs,RAJ2000,DEJ2000
31,1454784519276483328,205.501289558,28.3810642778,42.2488146125,78.7480186124,0.0044,15.476795,15.650423,15.048847,0.2055630505,14.276,14.452,14.301,0.5590820312,-0.0338650011,-2.8070000000000004,0.268,3.6905050278,3.6455051899,0.5265466103,0.4782613849,3.5754332331,4476.98371174,646.64305082,587.34477623,4390.92951821,205.501289558,28.381064277799997,205.501289558,28.3810642778
32,1454784553636229632,205.512628408,28.3853854005,42.2678647245,78.7378029959,0.0626,15.571664,15.773806,15.052288,0.0157418588,14.398,14.59,14.317,0.0725097656,-0.0339220017,-2.0380000000000003,-0.18500000000000003,2.9098200798,2.8658201694,0.4141768934,0.3764475581,2.8106351561,4220.63532298,609.97882724,554.41296622,4139.3616202,205.512628408,28.385385400499995,205.512628408,28.3853854005
33,1454784656715450368,205.5182582337,28.3932261547,42.3064082467,78.7323884821,-0.016,15.705327,15.874063,15.333693,0.2438257373,14.988,15.097,14.789,0.9887695312,-0.0337009989,-2.588,0.29400000000000004,4.5848846436,4.5448846817,0.6567500695,0.597730869,4.4572832448,4727.22239116,683.09843959,621.71142848,4636.10644367,205.5182582337,28.3932261547,205.5182582337,28.3932261547
34,1454784656715455360,205.5229920543,28.3895194334,42.2861935097,78.7284545175,0.0035,15.485271,15.59694,15.031314,0.3122214534,14.374,14.508,14.374,0.9428710938,-0.0337649994,-2.725,0.29600000000000004,4.2075667381,4.1145663261,0.5949635712,0.5411131807,4.0352039511,10132.97016351,1465.22078823,1332.60306937,9937.52390869,205.5229920543,28.389519433399997,205.5229920543,28.3895194334
35,1454784661012570880,205.5205916736,28.3910814781,42.2948201219,78.7304686167,0.0502,15.589749,15.629283,15.104738,0.3412124283,14.452,14.544,14.524,0.7348632812,-0.0336019993,-2.688,0.28900000000000003,4.1227254868,4.078725338,0.5895962092,0.5363938433,4.0000822914,4448.80417511,643.09259871,585.06297228,4363.0255347,205.5205916736,28.391081478099995,205.5205916736,28.3910814781
36,1454784661012594432,205.5294541738,28.3960974039,42.3180272045,78.7223840778,0.0505,15.583875,15.524166,15.195808,0.0182355378,14.952,14.923,15.07,0.0124435425,-0.0328209996,-2.539,-0.22500000000000003,3.0567333698,2.996733427,0.4333368761,0.3945555203,2.9388699063,3419.77773822,494.51038537,450.25432449,3353.74571201,205.5294541738,28.396097403899997,205.5294541738,28.3960974039
37,1454785313847601280,205.5051060377,28.3993006456,42.34105008,78.7435682403,0.0675,15.439459,15.541037,15.24181,0.0112704526,14.977,15.071,14.953,1.0,-0.0332180001,-2.708,0.255,4.260591507,4.2365913391,0.6112644641,0.5570089422,4.1550936172,7523.29816817,1085.47755855,989.13112434,7378.57529716,205.5051060377,28.3993006456,205.5051060377,28.3993006456
38,1454785416926872960,205.5157360532,28.4118558975,42.40227433,78.73346342,0.1078,15.589893,15.791731,15.173452,0.1385739745,14.692,14.857,14.534,0.9907226562,-0.0337980017,-2.696,0.138,3.8441681862,3.7631680965,0.5429095923,0.495784103,3.6906478321,4643.31741292,669.88810996,611.74066627,4553.83573205,205.5157360532,28.4118558975,205.5157360532,28.4118558975
39,1454785485646317440,205.5010098309,28.4099520374,42.3966560157,78.7465091159,0.1004,15.461577,15.761631,14.988537,0.0069626825,14.172,14.429,14.078,0.998046875,-0.0341989994,-2.608,0.29100000000000004,4.0755801201,4.0625801086,0.5854880658,0.5345614116,3.9844704744,5006.54965794,721.5304061,658.77057954,4910.2906914,205.50100983089996,28.4099520374,205.5010098309,28.4099520374
40,1454785726164191872,205.4944912942,28.4352245367,42.5277796616,78.7506340679,0.0696,15.480657,15.748321,15.043414,0.0070086323,14.327,14.533,14.207,0.9975585938,-0.0340639986,-2.575,0.34800000000000003,4.3931460381,4.3791460991,0.6295624826,0.5774495194,4.295011489,9427.53886164,1355.33837796,1243.14824424,9246.41169924,205.4944912942,28.435224536699998,205.4944912942,28.4352245367
