,Unnamed: 0_B,Unnamed: 0.1_B,id_B,xcentroid_B,ycentroid_B,sharpness_B,roundness1_B,roundness2_B,npix_B,sky_B,peak_B,flux_B,mag_B,Unnamed: 0_V,Unnamed: 0.1_V,id_V,xcentroid_V,ycentroid_V,sharpness_V,roundness1_V,roundness2_V,npix_V,sky_V,peak_V,flux_V,mag_V,x_rad,y_rad,rad,distance,Vmag,Bmag
789445,528,528,529,1709.98969591727,1422.1220545082813,0.4576814312305411,0.1446695993092365,0.1692304318326081,25,0.0,866.8850084719518,1.1998634727721669,14.328056301653758,613,613,614,1710.257774367061,1422.1303271403383,0.352325437535656,-0.1373475784988257,-0.1575560729268923,25,0.0,2115.6990084277763,3.006399421607392,13.35018664934986,142.25777436706107,-47.869672859661705,1.5219724513591602,1.5219724513591602,13.35018664934986,14.328056301653758
790937,529,529,530,1453.1052062878207,1422.758292563801,0.6765063723142126,0.2576158845359312,0.2845419023282842,25,0.0,1352.9181020318138,1.2366384949150315,14.293788901426138,611,611,612,1453.3219115445845,1422.861759635043,0.3499822947943998,-0.0875293487509137,0.0361994492086807,25,0.0,3136.5210637428013,4.13170700934047,12.974588268102536,-114.67808845541549,-47.13824036495703,1.257240508998137,1.257240508998137,12.974588268102536,14.293788901426138
792434,530,530,531,1533.0327283525592,1422.244294681181,0.6510436138462375,0.510615213093809,0.5898161696529903,25,0.0,1883.206872927699,1.1715411920158358,14.35517102657585,614,614,615,1532.9689338370413,1423.6705063619538,0.2948636345909449,0.0277128858197297,-0.2724075620467361,25,0.0,2530.5504396694178,1.295867050013201,14.344343775376345,-35.03106616295872,-46.32949363804619,0.5889583630920013,0.5889583630920013,14.344343775376345,14.35517102657585
798419,534,534,535,1540.3351798087242,1432.5361493216435,0.6545549282218286,0.07703232442389,0.6295018305065229,25,0.0,2280.6179736532386,1.475095156730189,14.093642584229244,623,623,624,1540.0545044188675,1432.3936660556567,0.544915505113661,-0.1157833380163025,0.6940947845543262,25,0.0,2608.241286755864,1.6215826879860975,14.079464629984592,-27.94549558113249,-37.606333944343305,0.4750876309486178,0.4750876309486178,14.079464629984592,14.093642584229244
798424,534,534,535,1540.3351798087242,1432.5361493216435,0.6545549282218286,0.07703232442389,0.6295018305065229,25,0.0,2280.6179736532386,1.475095156730189,14.093642584229244,628,628,629,1541.0522020676751,1434.0290580987412,0.3671910715631169,-0.3522593870602631,0.123072177824835,25,0.0,2417.760702098386,1.1295067181244371,14.506656250730035,-26.947797932324875,-35.97094190125881,0.45574675007955984,0.45574675007955984,14.506656250730035,14.093642584229244
801410,536,536,537,1445.9269232024858,1434.725558547089,0.6003391525506845,0.273410512289128,0.4699857837724678,25,0.0,1496.40431536409,1.7967157982315192,13.869758890664478,626,626,627,1445.8655576770625,1434.6948317864135,0.2279017237285868,-0.1887479714615865,-0.1026862750148718,25,0.0,2986.5938821803206,3.768085785239612,13.08341581330315,-122.1344423229375,-35.30516821358651,1.2891476509583097,1.2891476509583097,13.08341581330315,13.869758890664478
802902,537,537,538,1601.6697904310122,1435.7425227074252,0.4685196200402148,-0.0300005964824329,0.4231129490028277,25,0.0,2359.470503064954,1.641655138909116,13.972207383294716,624,624,625,1601.3522162724944,1435.2946738377364,0.8458932393809899,0.0168409304460688,0.5584376955631316,25,0.0,3212.4132528987225,1.783293805564733,13.967168783559368,33.35221627249439,-34.705326162263646,0.488073286795752,0.488073286795752,13.967168783559368,13.972207383294716
804397,538,538,539,1638.2143174935943,1435.3028259156868,0.3887409722922225,0.0214174379705898,0.3298838023875643,25,0.0,1654.8441632398926,1.5748274918919554,14.019381031059712,625,625,626,1637.9600598341583,1434.9822767604094,0.4376818031423863,0.0643960814788661,0.1157766131174702,25,0.0,4004.230733671124,5.249738402571985,12.691676272144925,69.9600598341583,-35.01772323959062,0.7932987322581097,0.7932987322581097,12.691676272144925,14.019381031059712
805895,539,539,540,1564.0393477036862,1435.275801235215,0.2967708721881272,0.0533221934452692,0.230531097629468,25,0.0,3705.250825415825,2.661760743927086,13.423635672400197,629,629,630,1563.674442747792,1435.6268035935502,0.4826550799479184,-0.1196973402693669,-0.1615123894585937,25,0.0,5146.346609386216,4.916528610270318,12.769142096652216,-4.325557252208,-34.37319640644978,0.3512931367667492,0.3512931367667492,12.769142096652216,13.423635672400197
807384,540,540,541,1599.8957047110232,1435.75880980828,0.8091520730658486,0.0950596172400411,0.3283025224714209,25,0.0,2550.020901977578,1.0858708438589293,14.441367663685629,624,624,625,1601.3522162724944,1435.2946738377364,0.8458932393809899,0.0168409304460688,0.5584376955631316,25,0.0,3212.4132528987225,1.783293805564733,13.967168783559368,33.35221627249439,-34.705326162263646,0.488073286795752,0.488073286795752,13.967168783559368,14.441367663685629
