,Id,GaiaEDR3,Name,RAJ2000,DEJ2000,Bmag,Vmag,recno,distance
724,219681,1454784729731726464,M3-S293     ,205.43896562258,28.34282136281,20.116,19.672,28802,6.884742100149373
1170,220551,1454796996158354304,M3-S681     ,205.44070010185,28.4165746106,14.101,12.759,29248,6.879626507831857
868,220457,1454785245127826560,M3-S364     ,205.43766916593,28.40693564627,19.669,19.248,28946,6.878967044429658
802,220153,1454785038969383296,M3-S310     ,205.43412934939,28.37832676888,20.359,19.757,28880,6.857488306988422
718,219645,1454784725439521920,M3-S299     ,205.4408273379,28.33897582001,19.36,18.925,28796,6.852173535743195
869,220478,1454785245127827456,M3-S376     ,205.43879373868,28.40918900702,19.075,18.614,28947,6.850364875554918
474,219610,1454783247963810176,M3-S306     ,205.44237368902,28.33542057633,18.982,18.392,28552,6.840245237819911
1498,220710,1454875920474926464,M3-S665     ,205.64511413574,28.43747204065,15.6,14.802,29576,6.834200798044893
1496,220655,1454875817395709056,M3-S667     ,205.64927957853,28.42996720844,18.068,17.37,29574,6.827810069238091
341,219270,1454779885010519040,M3-S1640    ,205.61762461662,28.28734587669,18.832,18.252,28419,6.808728397821627
1706,220960,1454879936266936832,M3-S635     ,205.57616237005,28.48722605626,19.006,18.512,29784,6.8037608485528125
1485,220526,1454875744378671232,M3-1615     ,205.65527497927,28.41430576218,19.252,18.816,29563,6.785565152965767
349,219196,1454780056807447936,M3-S855     ,205.60179131031,28.27757969009,16.03,15.577,28427,6.785169008530735
865,220432,1454785240834662656,M3-S373     ,205.43894783656,28.40502162404,20.274,19.824,28943,6.775762296020298
345,219328,1454779988088010624,M3-S1651    ,205.62390693029,28.29338453611,17.432,16.764,28423,6.77145285687622
358,219069,1454780366045066880,M3-S814     ,205.53912688494,28.26484639168,16.397,16.011,28436,6.768821584655022
348,219164,1454780052507989760,M3-1585     ,205.59608917236,28.27505923801,19.475,19.068,28426,6.767298428826219
726,219725,1454784729731727872,M3-S304     ,205.44014835358,28.34595170021,20.139,19.685,28804,6.762497142751735
849,220240,1454785142048601984,M3-S324     ,205.43605662982,28.38602162017,15.863,15.018,28927,6.761948477842114
1638,220835,1454878939834440192,M3-S481     ,205.62596592108,28.45849718889,18.944,18.404,29716,6.737844880540468
1634,220797,1454878875413134080,M3-S692     ,205.63322504361,28.45071815888,15.08,14.056,29712,6.731288116285469
866,220405,1454785245122652416,M3-S370     ,205.43921513557,28.40264238252,19.641,18.88,28944,6.726487428184027
870,220522,1454785245127830656,M3-S742     ,205.44265955289,28.41388272709,17.071,16.342,28948,6.714749384751599
715,219791,1454784725432577664,M3-S311     ,205.43979841868,28.35040171484,19.639,19.231,28793,6.713584417229032
1478,220399,1454875503860482176,M3-1618     ,205.65743293762,28.40194814536,19.033,18.538,29556,6.706421487283689
793,220096,1454785034670254464,M3-S319     ,205.43692571322,28.37355285221,20.195,19.744,28871,6.693148135442079
847,220208,1454785142048601216,M3-S326     ,205.43710026741,28.38337882008,18.646,18.0,28925,6.688970646461631
329,219145,1454779674550862464,M3-S1619    ,205.58784819444,28.27303745747,19.089,18.728,28407,6.68691323906494
860,220307,1454785210762890880,M3-S352     ,205.43804237048,28.39266593403,18.904,18.572,28938,6.6864763951129085
844,220287,1454785142043411328,M3-S345     ,205.43793080648,28.39086834802,19.618,19.159,28922,6.6790815103083485
754,219993,1454784828511814144,M3-S318     ,205.43849372864,28.36562989129,18.388,17.722,28832,6.632255964306797
799,220180,1454785038964179712,M3-S331     ,205.4381181558,28.3798993259,20.426,19.966,28877,6.619740757904335
354,219450,1454780228606254720,M3-S870     ,205.63819683393,28.31340980212,16.475,15.703,28432,6.610795835779404
720,219663,1454784729726494848,M3-S323     ,205.44439891179,28.34111566014,20.353,19.938,28798,6.607413238520541
712,219720,1454784725432573440,M3-S322     ,205.44317838351,28.34554422061,20.395,19.912,28790,6.595068670174627
795,220148,1454785034670259840,M3-S330     ,205.4385078907,28.37784545687,20.492,20.042,28873,6.594574761059639
333,219098,1454779713210043648,M3-S1600    ,205.56136906942,28.26813411143,16.794,16.036,28411,6.594530133230823
363,219167,1454780606563233920,M3-S794     ,205.50778556317,28.27533996635,15.98,15.128,28441,6.584160418374701
1705,220927,1454879871844846336,M3-S639     ,205.59160348574,28.47802784284,15.042,14.121,29783,6.577021250311167
853,220318,1454785206468972928,M3-S365     ,205.44042401314,28.39379968219,20.253,19.806,28931,6.554919199335028
804,220166,1454785038971142912,M3-S340     ,205.43934569359,28.37924553765,20.167,19.723,28882,6.54528416274303
848,220211,1454785142048601856,M3-S351     ,205.43968590101,28.38392801715,18.957,18.415,28926,6.535999819447986
