,Seq,_2MASS,RAJ2000,DEJ2000,Vamp,Vmag,Bamp,Bmag,Iamp,Imag,Per,Class,Rem,distance
173,291,0,205.57529166666663,28.377666666666663,0.838,17.462,0.978,17.697,0.519,17.141,0.07162900000000001,b'SXP ',b'   ',1.612709482824537
184,7,0,205.5462083333333,28.40294444444444,1.241,15.515,1.47,15.818,0.755,15.229,0.4973960000000001,b'RR0 ',b'   ',1.5457326376546554
4,7,0,205.5462083333333,28.40294444444444,1.241,15.515,1.47,15.818,0.755,15.229,0.4973960000000001,b'RR0 ',b'   ',1.5457326376546554
84,130,1,205.54904166666665,28.40172222222222,0.439,15.548,0.515,15.876,0.266,15.06,0.5651810000000002,b'RR0 ',b'Bl ',1.4671936660772487
264,130,1,205.54904166666665,28.40172222222222,0.439,15.548,0.515,15.876,0.266,15.06,0.5651810000000002,b'RR0 ',b'Bl ',1.4671936660772487
234,78,1,205.56274999999997,28.396805555555552,0.872,15.539,1.064,15.884,0.51,15.043,0.6119650000000001,b'RR0 ',b'Bl?',1.453472028319386
54,78,1,205.56274999999997,28.396805555555552,0.872,15.539,1.064,15.884,0.51,15.043,0.6119650000000001,b'RR0 ',b'Bl?',1.453472028319386
278,150,0,205.56949999999998,28.389111111111106,0.827,15.798,0.956,16.166,0.499,15.268,0.5239190000000001,b'RR0 ',b'Bl ',1.4506868960737245
98,150,0,205.56949999999998,28.389111111111106,0.827,15.798,0.956,16.166,0.499,15.268,0.5239190000000001,b'RR0 ',b'Bl ',1.4506868960737245
106,165,0,205.57099999999997,28.384222222222217,1.076,15.468,1.401,16.006,,,0.4836300000000001,b'RR0 ',b'   ',1.417668298217915
286,165,0,205.57099999999997,28.384222222222217,1.076,15.468,1.401,16.006,,,0.4836300000000001,b'RR0 ',b'   ',1.417668298217915
199,31,1,205.5582083333333,28.396499999999996,1.15,15.537,1.418,15.877,0.686,15.135,0.5807200000000001,b'RR0 ',b'Bl?',1.2944066887952137
19,31,1,205.5582083333333,28.396499999999996,1.15,15.537,1.418,15.877,0.686,15.135,0.5807200000000001,b'RR0 ',b'Bl?',1.2944066887952137
115,177,1,205.5678333333333,28.370527777777774,0.557,15.507,0.674,15.765,0.33,15.25,0.3483380000000001,b'RR1 ',b'   ',1.2334120981141885
