,recno,RRt,Saw,__Bmag_,__Vmag_,_RA,_DE,Bmag,Vmag,RAJ2000,DEJ2000,distance
120,121,b'Blaz',34,15.958,15.658,205.5908208333333,28.425688888888885,15.958,15.658,205.5908208333333,28.425688888888885,3.8614467694033423
142,143,b'Blaz',50,15.932,15.633,205.55137499999998,28.313316666666662,15.932,15.633,205.55137499999998,28.313316666666662,3.841724575760404
143,144,b'Blaz',50,15.862,15.597,205.55137499999998,28.313316666666662,15.862,15.597,205.55137499999998,28.313316666666662,3.841724575760404
43,44,b'RRab',51,15.979,15.639,205.5582208333333,28.31555555555555,15.979,15.639,205.5582208333333,28.31555555555555,3.7497222909984473
26,27,b'RRab',10,15.942,15.611,205.59654999999998,28.416774999999998,15.942,15.611,205.59654999999998,28.416774999999998,3.735921071970236
133,134,b'Blaz',44,15.874,15.519,205.60225416666665,28.406255555555553,15.874,15.519,205.60225416666665,28.406255555555553,3.6685007209491856
134,135,b'Blaz',44,15.921,15.576,205.60225416666665,28.406255555555553,15.921,15.576,205.60225416666665,28.406255555555553,3.6685007209491856
32,33,b'RRab',22,15.908,15.658,205.6083208333333,28.375477777777775,15.908,15.658,205.6083208333333,28.375477777777775,3.5959108062158376
64,65,b'RRab',90,15.937,15.649,205.5791958333333,28.326124999999998,15.937,15.649,205.5791958333333,28.326124999999998,3.581917207096349
76,77,b'RRab',124,15.923,15.53,205.52755416666665,28.322386111111108,15.923,15.53,205.52755416666665,28.322386111111108,3.523295727433191
34,35,b'RRab',26,15.848,15.543,205.49260416666664,28.366211111111106,15.848,15.543,205.49260416666664,28.366211111111106,3.4138969950714153
38,39,b'RRab',36,15.91,15.615,205.60267083333332,28.36868333333333,15.91,15.615,205.60267083333332,28.36868333333333,3.2958727172774607
9,10,b'RRc ',105,15.728,15.534,205.5413833333333,28.431469444444442,15.728,15.534,205.5413833333333,28.431469444444442,3.278811669967067
167,168,b'Blaz',67,16.019,15.663,205.5065833333333,28.412227777777773,16.019,15.663,205.5065833333333,28.412227777777773,3.270703888123241
165,166,b'Blaz',67,15.97,15.648,205.5065833333333,28.412227777777773,15.97,15.648,205.5065833333333,28.412227777777773,3.270703888123241
164,165,b'Blaz',67,15.911,15.601,205.5065833333333,28.412227777777773,15.911,15.601,205.5065833333333,28.412227777777773,3.270703888123241
13,14,b'RRc ',128,15.818,15.624,205.58460416666665,28.41496944444444,15.818,15.624,205.58460416666665,28.41496944444444,3.1351385279769537
141,142,b'Blaz',49,16.023,15.677,205.59241666666665,28.350666666666662,16.023,15.677,205.59241666666665,28.350666666666662,3.0852887427264917
140,141,b'Blaz',49,15.955,15.637,205.59241666666665,28.350666666666662,15.955,15.637,205.59241666666665,28.350666666666662,3.0852887427264917
56,57,b'RRab',74,15.922,15.653,205.57601249999996,28.42028333333333,15.922,15.653,205.57601249999996,28.42028333333333,3.065942182835648
62,63,b'RRab',84,15.99,15.631,205.56835416666664,28.424227777777773,15.99,15.631,205.56835416666664,28.424227777777773,3.0605329088692503
53,54,b'RRab',71,16.015,15.678,205.5993583333333,28.37793333333333,16.015,15.678,205.5993583333333,28.37793333333333,3.0567936724591576
178,179,b'Blaz',106,15.947,15.645,205.53286666666665,28.424913888888884,15.947,15.645,205.53286666666665,28.424913888888884,3.006625653526789
179,180,b'Blaz',106,15.99,15.667,205.53286666666665,28.424913888888884,15.99,15.667,205.53286666666665,28.424913888888884,3.006625653526789
146,147,b'Blaz',52,16.022,15.705,205.52381249999996,28.420355555555552,16.022,15.705,205.52381249999996,28.420355555555552,2.9765649631105817
145,146,b'Blaz',52,15.651,15.706,205.52381249999996,28.420355555555552,15.651,15.706,205.52381249999996,28.420355555555552,2.9765649631105817
47,48,b'RRab',57,15.974,15.674,205.59767916666664,28.378413888888886,15.974,15.674,205.59767916666664,28.378413888888886,2.9565770043976327
42,43,b'RRab',48,15.869,15.487,205.58855416666665,28.350333333333328,15.869,15.487,205.58855416666665,28.350333333333328,2.900572520813152
5,6,b'RRc ',75,15.855,15.625,205.56385416666663,28.422805555555552,15.855,15.625,205.56385416666663,28.422805555555552,2.8844879787590965
52,53,b'RRab',69,16.0,15.666,205.57405416666663,28.417691666666663,16.0,15.666,205.57405416666663,28.417691666666663,2.871650943010175
163,164,b'Blaz',66,15.964,15.627,205.51611666666665,28.411691666666663,15.964,15.627,205.51611666666665,28.411691666666663,2.831857760553012
160,161,b'Blaz',66,15.958,15.612,205.51611666666665,28.411691666666663,15.958,15.612,205.51611666666665,28.411691666666663,2.831857760553012
161,162,b'Blaz',66,15.965,15.608,205.51611666666665,28.411691666666663,15.965,15.608,205.51611666666665,28.411691666666663,2.831857760553012
112,113,b'Blaz',24,15.906,15.503,205.50171666666665,28.381052777777775,15.906,15.503,205.50171666666665,28.381052777777775,2.8111035615543405
111,112,b'Blaz',24,15.857,15.499,205.50171666666665,28.381052777777775,15.857,15.499,205.50171666666665,28.381052777777775,2.8111035615543405
110,111,b'Blaz',24,15.838,15.492,205.50171666666665,28.381052777777775,15.838,15.492,205.50171666666665,28.381052777777775,2.8111035615543405
97,98,b'Blaz',14,15.823,15.504,205.53294999999997,28.333688888888886,15.823,15.504,205.53294999999997,28.333688888888886,2.775037677302522
96,97,b'Blaz',14,15.863,15.538,205.53294999999997,28.333688888888886,15.863,15.538,205.53294999999997,28.333688888888886,2.775037677302522
4,5,b'RRc ',70,15.636,15.35,205.56004166666665,28.420649999999995,15.636,15.35,205.56004166666665,28.420649999999995,2.6942426980502034
35,36,b'RRab',27,15.948,15.621,205.5135583333333,28.349738888888886,15.948,15.621,205.5135583333333,28.349738888888886,2.6653810535185576
24,25,b'RRab',6,15.96,15.676,205.50936666666664,28.39497222222222,15.96,15.676,205.50936666666664,28.39497222222222,2.57229406635142
41,42,b'RRab',46,16.044,15.676,205.50791249999997,28.364016666666664,16.044,15.676,205.50791249999997,28.364016666666664,2.5571335179275225
70,71,b'RRab',104,15.82,15.539,205.54034166666665,28.418838888888885,15.82,15.539,205.54034166666665,28.418838888888885,2.5403361353263354
137,138,b'Blaz',47,15.927,15.636,205.51124999999996,28.357986111111106,15.927,15.636,205.51124999999996,28.357986111111106,2.512452948903957
138,139,b'Blaz',47,15.982,15.67,205.51124999999996,28.357986111111106,15.982,15.67,205.51124999999996,28.357986111111106,2.512452948903957
139,140,b'Blaz',47,16.006,15.581,205.51124999999996,28.357986111111106,16.006,15.581,205.51124999999996,28.357986111111106,2.512452948903957
12,13,b'RRc ',126,15.883,15.622,205.54350416666665,28.337686111111108,15.883,15.622,205.54350416666665,28.337686111111108,2.39366508161563
33,34,b'RRab',25,15.906,15.651,205.5095333333333,28.369499999999995,15.906,15.651,205.5095333333333,28.369499999999995,2.3791672042981764
0,1,b'RRc ',12,15.77,15.563,205.54721666666663,28.33808333333333,15.77,15.563,205.54721666666663,28.33808333333333,2.3527207369344
69,70,b'RRab',100,16.043,15.677,205.57052499999998,28.405641666666664,16.043,15.677,205.57052499999998,28.405641666666664,2.1578007104445858
44,45,b'RRab',53,15.917,15.64,205.5459125,28.412374999999997,15.917,15.64,205.5459125,28.412374999999997,2.1112303565693087
23,24,b'RRab',1,15.881,15.603,205.54662916666663,28.342680555555553,15.881,15.603,205.54662916666663,28.342680555555553,2.0785534079287005
128,129,b'Blaz',41,15.95,15.681,205.51861666666665,28.39320833333333,15.95,15.681,205.51861666666665,28.39320833333333,2.02743866393166
129,130,b'Blaz',41,15.989,15.724,205.51861666666665,28.39320833333333,15.989,15.724,205.51861666666665,28.39320833333333,2.02743866393166
130,131,b'Blaz',43,15.985,15.686,205.58024166666664,28.385386111111107,15.985,15.686,205.58024166666664,28.385386111111107,1.970550854567525
131,132,b'Blaz',43,15.942,15.653,205.58024166666664,28.385386111111107,15.942,15.653,205.58024166666664,28.385386111111107,1.970550854567525
132,133,b'Blaz',43,15.92,15.627,205.58024166666664,28.385386111111107,15.92,15.627,205.58024166666664,28.385386111111107,1.970550854567525
83,84,b'RRab',146,15.904,15.549,205.57740416666664,28.36215833333333,15.904,15.549,205.57740416666664,28.36215833333333,1.9616310556508667
45,46,b'RRab',54,15.986,15.689,205.53825416666663,28.40799444444444,15.986,15.689,205.53825416666663,28.40799444444444,1.9412798097165538
116,117,b'Blaz',33,15.873,15.591,205.57052083333332,28.35369722222222,15.873,15.591,205.57052083333332,28.35369722222222,1.9392437897993442
117,118,b'Blaz',33,15.917,15.612,205.57052083333332,28.35369722222222,15.917,15.612,205.57052083333332,28.35369722222222,1.9392437897993442
17,18,b'RRc ',140,15.7,15.479,205.54323333333332,28.408538888888884,15.7,15.479,205.54323333333332,28.408538888888884,1.9013144480711766
82,83,b'RRab',144,15.967,15.595,205.56570416666665,28.35079722222222,15.967,15.595,205.56570416666665,28.35079722222222,1.8974228880973252
181,182,b'Blaz',110,15.9,15.611,205.51712916666665,28.37395833333333,15.9,15.611,205.51712916666665,28.37395833333333,1.88774101997724
183,184,b'Blaz',110,15.948,15.599,205.51712916666665,28.37395833333333,15.948,15.599,205.51712916666665,28.37395833333333,1.88774101997724
182,183,b'Blaz',110,15.956,15.625,205.51712916666665,28.37395833333333,15.956,15.625,205.51712916666665,28.37395833333333,1.88774101997724
58,59,b'RRab',77,15.946,15.717,205.51819999999998,28.385991666666662,15.946,15.717,205.51819999999998,28.385991666666662,1.886856501169344
63,64,b'RRab',89,15.92,15.605,205.55749999999998,28.347711111111106,15.92,15.605,205.55749999999998,28.347711111111106,1.8557960638075386
48,49,b'RRab',58,15.828,15.512,205.5214208333333,28.39114444444444,15.828,15.512,205.5214208333333,28.39114444444444,1.8209234304648774
185,186,b'Blaz',111,16.02,15.716,205.51945416666663,28.384416666666663,16.02,15.716,205.51945416666663,28.384416666666663,1.7897333512306597
184,185,b'Blaz',111,16.012,15.72,205.51945416666663,28.384416666666663,16.012,15.72,205.51945416666663,28.384416666666663,1.7897333512306597
186,187,b'Blaz',111,15.953,15.628,205.51945416666663,28.384416666666663,15.953,15.628,205.51945416666663,28.384416666666663,1.7897333512306597
115,116,b'Blaz',28,15.88,15.608,205.5408958333333,28.349011111111107,15.88,15.608,205.5408958333333,28.349011111111107,1.7549496211990432
114,115,b'Blaz',28,15.906,15.647,205.5408958333333,28.349011111111107,15.906,15.647,205.5408958333333,28.349011111111107,1.7549496211990432
113,114,b'Blaz',28,15.937,15.672,205.5408958333333,28.349011111111107,15.937,15.672,205.5408958333333,28.349011111111107,1.7549496211990432
18,19,b'RRc ',152,15.693,15.506,205.57309166666664,28.39265833333333,15.693,15.506,205.57309166666664,28.39265833333333,1.7446220754062118
21,22,b'RRc ',178,15.876,15.71,205.57354999999998,28.391574999999996,15.876,15.71,205.57354999999998,28.391574999999996,1.7349762926322743
175,176,b'Blaz',101,16.067,15.697,205.56316666666663,28.40162222222222,16.067,15.697,205.56316666666663,28.40162222222222,1.7079166384145614
176,177,b'Blaz',101,16.058,15.695,205.56316666666663,28.40162222222222,16.058,15.695,205.56316666666663,28.40162222222222,1.7079166384145614
177,178,b'Blaz',101,16.099,15.695,205.56316666666663,28.40162222222222,16.099,15.695,205.56316666666663,28.40162222222222,1.7079166384145614
201,202,b'Blaz',155,15.85,15.603,205.5282083333333,28.357555555555553,15.85,15.603,205.5282083333333,28.357555555555553,1.694174308362377
202,203,b'Blaz',155,15.812,15.582,205.5282083333333,28.357555555555553,15.812,15.582,205.5282083333333,28.357555555555553,1.694174308362377
203,204,b'Blaz',155,15.747,15.518,205.5282083333333,28.357555555555553,15.747,15.518,205.5282083333333,28.357555555555553,1.694174308362377
72,73,b'RRab',109,15.974,15.682,205.5204208333333,28.37901944444444,15.974,15.682,205.5204208333333,28.37901944444444,1.6829603945481237
1,2,b'RRc ',29,15.712,15.486,205.52852916666663,28.357630555555552,15.712,15.486,205.52852916666663,28.357630555555552,1.6772859355569831
40,41,b'RRab',42,15.74,15.488,205.5237333333333,28.389588888888884,15.74,15.488,205.5237333333333,28.389588888888884,1.6549742929879874
85,86,b'RRab',167,16.015,15.627,205.52356666666665,28.368174999999997,16.015,15.627,205.52356666666665,28.368174999999997,1.5878314696475542
14,15,b'RRc ',129,15.77,15.481,205.53488749999997,28.39985555555555,15.77,15.481,205.53488749999997,28.39985555555555,1.5792787403159108
95,96,b'Blaz',7,15.939,15.697,205.5471833333333,28.402874999999998,15.939,15.697,205.5471833333333,28.402874999999998,1.5376597334911697
15,16,b'RRc ',131,15.863,15.65,205.52494999999996,28.38585555555555,15.863,15.65,205.52494999999996,28.38585555555555,1.4990934517627403
199,200,b'Blaz',150,15.935,15.648,205.5702333333333,28.389161111111108,15.935,15.648,205.5702333333333,28.389161111111108,1.4906445821990488
198,199,b'Blaz',150,15.9,15.632,205.5702333333333,28.389161111111108,15.9,15.632,205.5702333333333,28.389161111111108,1.4906445821990488
200,201,b'Blaz',150,16.016,15.675,205.5702333333333,28.389161111111108,16.016,15.675,205.5702333333333,28.389161111111108,1.4906445821990488
192,193,b'Blaz',130,15.932,15.574,205.54939166666665,28.401666666666664,15.932,15.574,205.54939166666665,28.401666666666664,1.4645504279469017
193,194,b'Blaz',130,15.895,15.537,205.54939166666665,28.401666666666664,15.895,15.537,205.54939166666665,28.401666666666664,1.4645504279469017
194,195,b'Blaz',130,15.892,15.556,205.54939166666665,28.401666666666664,15.892,15.556,205.54939166666665,28.401666666666664,1.4645504279469017
168,169,b'Blaz',78,15.891,15.542,205.56306249999997,28.39679722222222,15.891,15.542,205.56306249999997,28.39679722222222,1.4642446982229893
170,171,b'Blaz',78,15.911,15.548,205.56306249999997,28.39679722222222,15.911,15.548,205.56306249999997,28.39679722222222,1.4642446982229893
169,170,b'Blaz',78,15.941,15.554,205.56306249999997,28.39679722222222,15.941,15.554,205.56306249999997,28.39679722222222,1.4642446982229893
57,58,b'RRab',76,15.999,15.752,205.54409166666665,28.35393333333333,15.999,15.752,205.54409166666665,28.35393333333333,1.4244493237743385
90,91,b'Blaz',3,15.831,15.565,205.56604166666665,28.361552777777774,15.831,15.565,205.56604166666665,28.361552777777774,1.41721383135203
91,92,b'Blaz',3,15.818,15.535,205.56604166666665,28.361552777777774,15.818,15.535,205.56604166666665,28.361552777777774,1.41721383135203
77,78,b'RRab',133,15.97,15.672,205.5299708333333,28.390411111111106,15.97,15.672,205.5299708333333,28.390411111111106,1.3586112663119034
36,37,b'RRab',31,15.825,15.531,205.5585458333333,28.39650833333333,15.825,15.531,205.5585458333333,28.39650833333333,1.304165533395898
189,190,b'Blaz',121,16.013,15.719,205.53492916666664,28.393827777777773,16.013,15.719,205.53492916666664,28.393827777777773,1.281000587931106
190,191,b'Blaz',121,16.043,15.743,205.53492916666664,28.393827777777773,16.043,15.743,205.53492916666664,28.393827777777773,1.281000587931106
191,192,b'Blaz',121,15.963,15.701,205.53492916666664,28.393827777777773,15.963,15.701,205.53492916666664,28.393827777777773,1.281000587931106
20,21,b'RRc ',177,15.744,15.563,205.56861666666663,28.370474999999995,15.744,15.563,205.56861666666663,28.370474999999995,1.2789069145149448
87,88,b'RRab',197,15.983,15.726,205.56714166666663,28.381352777777774,15.983,15.726,205.56714166666663,28.381352777777774,1.1498457304230778
84,85,b'RRab',149,15.993,15.684,205.55904999999998,28.39307222222222,15.993,15.684,205.55904999999998,28.39307222222222,1.1424778351356009
89,90,b'RRab',258,15.994,15.624,205.5602083333333,28.39205555555555,15.994,15.624,205.5602083333333,28.39205555555555,1.1344044195554661
37,38,b'RRab',32,15.843,15.568,205.55237499999998,28.395141666666664,15.843,15.568,205.55237499999998,28.395141666666664,1.0978852335281477
204,205,b'Blaz',176,16.048,15.807,205.56272499999997,28.387699999999995,16.048,15.807,205.56272499999997,28.387699999999995,1.0621633942084787
205,206,b'Blaz',176,16.129,15.847,205.56272499999997,28.387699999999995,16.129,15.847,205.56272499999997,28.387699999999995,1.0621633942084787
81,82,b'RRab',142,16.035,15.706,205.53924166666664,28.362241666666662,16.035,15.706,205.53924166666664,28.362241666666662,1.0568002204779905
16,17,b'RRc ',132,15.871,15.594,205.53190416666664,28.372202777777773,15.871,15.594,205.53190416666664,28.372202777777773,1.0364353025066604
78,79,b'RRab',134,16.103,15.786,205.54158749999996,28.393136111111108,16.103,15.786,205.54158749999996,28.393136111111108,1.0360035438868582
80,81,b'RRab',137,15.928,15.597,205.56507499999998,28.373155555555552,15.928,15.597,205.56507499999998,28.373155555555552,1.0296751463972913
86,87,b'RRab',186,15.933,15.519,205.55285833333332,28.361222222222217,15.933,15.519,205.55285833333332,28.361222222222217,0.99948225285781
79,80,b'RRab',135,16.001,15.656,205.53994999999998,28.389136111111107,16.001,15.656,205.53994999999998,28.389136111111107,0.8742551232024661
19,20,b'RRc ',170,15.523,15.271,205.5396708333333,28.387561111111108,15.523,15.271,205.5396708333333,28.387561111111108,0.8099797361331277
196,197,b'Blaz',143,15.805,15.47,205.53793749999997,28.383063888888884,15.805,15.47,205.53793749999997,28.383063888888884,0.7182154014965083
197,198,b'Blaz',143,15.736,15.397,205.53793749999997,28.383063888888884,15.736,15.397,205.53793749999997,28.383063888888884,0.7182154014965083
195,196,b'Blaz',143,15.821,15.465,205.53793749999997,28.383063888888884,15.821,15.465,205.53793749999997,28.383063888888884,0.7182154014965083
