,Seq,m_Seq,Per,u_Per,Type,__Bmag_,u__Bmag_,__Vmag_,u__Vmag_,__Imag_,u__Imag_,FileName,SimbadName,_RA,_DE,Bmag,Vmag,RAJ2000,DEJ2000,distance
20,b' 21',b' ',0.515758,b' ',b'RRab',16.012,b' ',15.69,b' ',,b' ',b'v021',b'Cl* NGC 5272 SAW V 21',205.65779999999998,28.383752777777776,16.012,15.69,205.65779999999998,28.383752777777776,6.574531356207819
245,b'  9',b' ',0.5415553,b' ',b'RRab',15.957,b' ',15.645,b' ',15.217,b' ',b'v009',b'Cl* NGC 5272 SAW V  9',205.45661666666663,28.320252777777775,15.957,15.645,205.45661666666663,28.320252777777775,6.484131882820006
8,b'  9',b' ',0.5415553,b' ',b'RRab',15.957,b' ',15.645,b' ',15.217,b' ',b'v009',b'Cl* NGC 5272 SAW V  9',205.45661666666663,28.320252777777775,15.957,15.645,205.45661666666663,28.320252777777775,6.484131882820006
301,b' 65',b' ',0.6683474,b' ',b'RRab',15.875,b' ',15.497,b' ',14.991,b' ',b'v065',b'Cl* NGC 5272 SAW V 65',205.58751666666663,28.469449999999995,15.875,15.497,205.58751666666663,28.469449999999995,6.007412639896299
64,b' 65',b' ',0.6683474,b' ',b'RRab',15.875,b' ',15.497,b' ',14.991,b' ',b'v065',b'Cl* NGC 5272 SAW V 65',205.58751666666663,28.469449999999995,15.875,15.497,205.58751666666663,28.469449999999995,6.007412639896299
300,b' 64',b' ',0.6054588,b' ',b'RRab',16.045,b' ',15.672,b' ',15.156,b':',b'v064',b'Cl* NGC 5272 SAW V 64',205.58414166666665,28.47009166666666,16.045,15.672,205.58414166666665,28.47009166666666,5.967175897021359
63,b' 64',b' ',0.6054588,b' ',b'RRab',16.045,b' ',15.672,b' ',15.156,b':',b'v064',b'Cl* NGC 5272 SAW V 64',205.58414166666665,28.47009166666666,16.045,15.672,205.58414166666665,28.47009166666666,5.967175897021359
315,b' 79',b' ',0.3580727,b' ',b'RRd',15.988,b' ',15.742,b' ',15.266,b' ',b'v079',b'Cl* NGC 5272 SAW V 79',205.56163749999996,28.475411111111107,15.988,15.742,205.56163749999996,28.475411111111107,5.94124587716567
78,b' 79',b' ',0.3580727,b' ',b'RRd',15.988,b' ',15.742,b' ',15.266,b' ',b'v079',b'Cl* NGC 5272 SAW V 79',205.56163749999996,28.475411111111107,15.988,15.742,205.56163749999996,28.475411111111107,5.94124587716567
15,b' 16',b' ',0.5114943,b' ',b'RRab',16.02,b' ',15.701,b' ',15.288,b' ',b'v016',b'Cl* NGC 5272 SAW V 16',205.45331249999998,28.352263888888885,16.02,15.701,205.45331249999998,28.352263888888885,5.90027060251985
252,b' 16',b' ',0.5114943,b' ',b'RRab',16.02,b' ',15.701,b' ',15.288,b' ',b'v016',b'Cl* NGC 5272 SAW V 16',205.45331249999998,28.352263888888885,16.02,15.701,205.45331249999998,28.352263888888885,5.90027060251985
338,b'107',b' ',0.3090378,b' ',b'RRc',15.89,b' ',15.674,b' ',15.293,b' ',b'v107',b'Cl* NGC 5272 SAW V107',205.5238458333333,28.47125555555555,15.89,15.674,205.5238458333333,28.47125555555555,5.828240144298745
